# form	sources	reason — refused by tools/build_lexicon.py
,	apertium	outside-alphabet:,
-ақ	apertium	edge-punctuation
.	apertium	outside-alphabet:.
0	apertium	outside-alphabet:0
00	apertium	outside-alphabet:0
000	apertium	outside-alphabet:0
1	apertium	outside-alphabet:1
10	apertium	outside-alphabet:01
2	apertium	outside-alphabet:2
20	apertium	outside-alphabet:02
3	apertium	outside-alphabet:3
30	apertium	outside-alphabet:03
4	apertium	outside-alphabet:4
40	apertium	outside-alphabet:04
5	apertium	outside-alphabet:5
50	apertium	outside-alphabet:05
6	apertium	outside-alphabet:6
60	apertium	outside-alphabet:06
7	apertium	outside-alphabet:7
70	apertium	outside-alphabet:07
8	apertium	outside-alphabet:8
80	apertium	outside-alphabet:08
9	apertium	outside-alphabet:9
90	apertium	outside-alphabet:09
[жағының	kazdict	outside-alphabet:[
[көктен	kazdict	outside-alphabet:[
a	apertium	not-cyrillic
aar	kazdict	not-cyrillic
abba	apertium	not-cyrillic
abc	apertium,kazdict	not-cyrillic
abi	kazdict	not-cyrillic
acd	kazdict	not-cyrillic
acia	kazdict	not-cyrillic
aclu	apertium	not-cyrillic
acms	kazdict	not-cyrillic
acs	kazdict	not-cyrillic
activemovie	kazdict	not-cyrillic
activex	kazdict	not-cyrillic
adb	kazdict	not-cyrillic
adf	kazdict	not-cyrillic
adl	kazdict	not-cyrillic
admd	kazdict	not-cyrillic
adobe	apertium	not-cyrillic
adsl	kazdict	not-cyrillic
aec	kazdict	not-cyrillic
aes	kazdict	not-cyrillic
afn	kazdict	not-cyrillic
afp	apertium	not-cyrillic
aiff	kazdict	not-cyrillic
airbnb	kazdict	not-cyrillic
airbus	apertium	not-cyrillic
ajax	apertium	not-cyrillic
alias	kazdict	not-cyrillic
alias-file	kazdict	not-cyrillic
all-in-one	kazdict	not-cyrillic
alm	kazdict	not-cyrillic
alma	apertium	not-cyrillic
althea	apertium	not-cyrillic
amazon.com	kazdict	not-cyrillic
amd	apertium	not-cyrillic
amiga	apertium	not-cyrillic
amis	kazdict	not-cyrillic
amlcd	kazdict	not-cyrillic
amnesty%	apertium	not-cyrillic
amp	kazdict	not-cyrillic
amps	kazdict	not-cyrillic
amway	apertium	not-cyrillic
anchor	kazdict	not-cyrillic
andf	kazdict	not-cyrillic
ani	kazdict	not-cyrillic
anp	apertium	not-cyrillic
ansi	kazdict	not-cyrillic
aoce	kazdict	not-cyrillic
aol	apertium	not-cyrillic
aon	apertium	not-cyrillic
apertium	apertium	not-cyrillic
api	kazdict	not-cyrillic
apm	kazdict	not-cyrillic
appc	kazdict	not-cyrillic
applets	kazdict	not-cyrillic
application	kazdict	not-cyrillic
appn	kazdict	not-cyrillic
apt	kazdict	not-cyrillic
archie	kazdict	not-cyrillic
arl	kazdict	not-cyrillic
art	kazdict	not-cyrillic
article	kazdict	not-cyrillic
asa	kazdict	not-cyrillic
ascii	apertium,kazdict	not-cyrillic
asd	kazdict	not-cyrillic
ase	kazdict	not-cyrillic
asf	kazdict	not-cyrillic
asr	kazdict	not-cyrillic
atari	apertium	not-cyrillic
atdm	kazdict	not-cyrillic
atm	kazdict	not-cyrillic
atp	apertium	not-cyrillic
audi	apertium	not-cyrillic
aui	kazdict	not-cyrillic
authentication	kazdict	not-cyrillic
autodesk	apertium	not-cyrillic
avi	kazdict	not-cyrillic
avnp	kazdict	not-cyrillic
avr	kazdict	not-cyrillic
aбб	apertium	mixed-script
aйтғали	apertium	mixed-script
aманжол	baseline	mixed-script
b	apertium	not-cyrillic
b2в-басылымдар	kazdict	mixed-script
b2с-басылымдар	kazdict	mixed-script
back-office	kazdict	not-cyrillic
backbone	kazdict	not-cyrillic
backstage	kazdict	not-cyrillic
bae	apertium	not-cyrillic
bbs	kazdict	not-cyrillic
bcs	kazdict	not-cyrillic
bdc	kazdict	not-cyrillic
beatles	apertium	not-cyrillic
bfs	kazdict	not-cyrillic
bft	kazdict	not-cyrillic
bg	apertium	not-cyrillic
bind	kazdict	not-cyrillic
binhex	kazdict	not-cyrillic
bitcoin	kazdict	not-cyrillic
bitnet	kazdict	not-cyrillic
blockchain	kazdict	not-cyrillic
bna	kazdict	not-cyrillic
bookmarks	kazdict	not-cyrillic
boolean	kazdict	not-cyrillic
bop	kazdict	not-cyrillic
bounce	kazdict	not-cyrillic
bp	apertium	not-cyrillic
bpr	kazdict	not-cyrillic
bps	kazdict	not-cyrillic
