# form	track	verbal-weight	nominal-weight — tools/tracks.py
# for entries with no part of speech. An entry not listed here keeps
# both tracks, because the books do not say which one it is on.
абайлат	v	6	0
абайлау	n	0	9
абайлағыштық	n	0	2
абайтану	n	4	41
абайым	n	3	5
абак	v	4	0
абалан	v	4	0
абалас	v	2	0
абалат	v	25	0
абан	n	0	6
абас	n	0	7
абаттандыр	v	8	0
абаттандыру	n	0	6
абдал	n	0	27
абдәсте	n	0	2
аби	n	0	6
абитуриент	n	0	14
абстракционизм	n	0	5
абстракцияла	v	15	0
абстракциялан	v	59	0
абстракциялану	n	2	5
абхаздық	n	0	2
абый	n	0	2
абыр	n	0	5
абырай	n	0	2
абыржыту	n	0	5
авантюра	n	0	41
аватар	n	0	2
автогараж	n	0	2
автограф	n	2	19
авторлары	n	0	170
авторы	n	0	223
автохтон	v	13	3
ага	n	3	40
аграфия	n	0	2
агротехника	n	0	30
ад	n	46	651
адад	n	0	2
адамбаев	n	0	6
адамдар	n	1254	5789
адамды	n	0	2
адамзатты	n	0	2
адамизат	n	0	4
адамсымақ	n	2	14
адасу	n	19	317
адасқан	n	37	403
адат	v	21	7
администрация	n	0	4
адресант	n	0	2
ады	n	0	11
адымдау	n	0	4
адын	n	0	2
ажаб	n	0	2
ажарландыру	n	0	2
ажарлану	n	0	6
ажарлау	n	0	11
ажарын	n	0	43
ажыр	v	71	0
ажырасу	n	6	80
ажырау	n	6	59
ажыраң	n	0	3
азаб	n	0	709
азабын	n	0	30
азад	n	0	105
азайтылу	n	0	4
азайып	v	29	0
азалау	n	0	2
азали	n	0	3
азаматтар	n	254	1202
азаматтары	n	0	319
азанбек	n	0	2
азапталу	n	0	2
азаптану	n	2	19
азарлан	v	11	0
азаттығы	n	0	27
азау	n	8	14
азаюы	n	0	14
азбас	n	0	15
аздырып	v	4	0
аздығы	n	0	22
азиз	n	2	11
азим	v	4	0
азимат	v	2	0
азна	v	4	0
азын	v	27	13
азыну	n	0	2
азып	v	8	0
азығ	n	9	477
азықтандыру	n	3	11
азықтану	n	0	5
азғындану	n	0	2
азғындату	n	0	6
азғырып	v	11	0
аи	n	2	14
айал	n	2	3
айат	v	2	0
айағ	n	0	7
айақ	n	2	5
айақын	n	0	2
айб	v	346	5
айбибі	n	0	2
айван	n	0	6
айдалу	n	2	37
айдарлым	v	16	0
айдарын	n	0	15
айдату	n	3	18
айдатқыз	v	4	0
айдағанымыз	n	0	2
айдағы	n	0	4
айдақ	v	2	0
айды	n	0	305
айдыны	n	0	46
айдынғали	n	0	2
айлана	v	13	0
айланба	v	8	0
айландыр	v	94	0
айлар	n	26	397
айлығын	n	0	26
айлықтар	n	0	4
айма	n	4	35
аймалау	n	0	42
аймақтарын	n	0	208
айн	v	411	25
айнакөл	n	4	28
айналас	n	9	803
айналды	n	0	2
айналдырушы	n	0	6
айналдырған	n	20	135
айналмақ	n	3	6
айналсоқтат	v	4	0
айналушы	n	0	3
айналуы	n	0	86
айналымдар	n	6	21
айналымдары	n	0	4
айналымын	n	0	19
айналып	v	273	2
айналысатын	n	0	69
айналыстыр	v	2	0
айналысушы	n	0	16
айналған	n	17	694
айнасы	n	0	27
айнаш	n	4	33
айни	v	78	14
айну	n	0	21
айнымай	v	260	2
айнымал	n	0	95
айнытпай	v	6	0
айнығыш	n	0	2
айрауық	n	2	15
айрылу	n	8	162
айрылып	v	42	10
айрылысу	n	6	39
айрылған	n	4	214
айсәуле	n	0	10
айта	v	2123	1357
айтады	n	0	5
айтайын	n	0	2
айталы	n	0	2
айтан	n	3	18
айтар	n	15	1615
айтарым	v	223	13
айтат	n	0	2
айтатын	n	29	607
айтақтау	n	0	3
айтолды	n	0	13
айтпай	v	868	108
айтпағым	v	12	6
айтса	n	0	11
айтсам	n	0	4
айтта	v	6	0
айтты	n	0	38
айттыру	n	4	72
айттырушы	n	0	4
айттырыл	v	57	0
айтушысы	n	0	7
айтыла	v	813	0
айтылатын	n	2	91
айтылатынын	n	0	2
айтылу	n	5	413
айтылуы	n	0	35
айтылым	n	10	62
айтылып	v	65	0
айтып	v	754	19
айтыса	v	185	18
айтыскер	n	0	23
айтыстар	n	37	238
айтыстыр	v	59	0
айтыстың	n	0	2
айтысу	n	14	163
айтысушы	n	0	11
айтысы	n	0	72
айтысып	v	29	0
айтысқа	n	0	57
айтысқан	n	3	147
айтық	v	2	0
айтқан	n	458	4797
айтқаны	n	2	385
айтқаным	v	438	197
айтқанын	n	2	98
айтқаң	n	0	14
айтқыш	n	4	51
айтұр	n	0	8
айуаншылық	n	0	2
айхай	n	0	2
айш	n	4	8
айшықта	v	43	0
айшықтал	v	100	0
айшықталу	n	0	3
айшықтары	n	0	11
айы	n	0	838
айыбы	n	0	49
айыппұлдар	n	2	3
айыптар	n	18	70
айыптаушылар	n	0	12
айыра	v	305	4
айырла	v	2	0
айырмаш	n	0	11
айырмашылықтарын	n	0	10
айырмақ	n	0	12
айырмыс	n	2	4
айырып	v	25	2
айырысу	n	7	28
айырысулар	n	0	2
айырықша	n	0	3
айырқалпақ	n	0	2
айыш	v	2	0
айығу	n	6	38
айықпас	n	0	10
айықпау	n	0	2
айықтыру	n	0	10
айғайлау	n	0	28
айғағы	n	0	29
айғақтар	n	50	182
айғақтау	n	4	23
айғақтылық	n	0	3
айғыздат	v	2	0
айғырлар	n	29	55
айқайлап	v	33	2
айқайласу	n	0	2
айқайлау	n	9	90
айқалас	v	15	0
айқап	n	5	58
айқастыру	n	0	6
айқындалу	n	2	71
айқындалған	n	0	11
айқындан	v	13	0
айқындау	n	39	325
айқындылығы	n	0	23
ака	n	0	21
академигі	n	0	3
акация	n	0	7
аккумуляцияла	v	3	0
аккумуляциялан	v	2	0
акрам	n	0	4
акс	v	43	0
аксар	n	0	2
активтену	n	0	4
активтер	n	6	29
актілен	v	2	0
актілер	n	21	103
актілері	n	0	30
актілерін	n	0	11
актісін	n	0	36
акупунктура	n	0	2
акушерл	v	7	0
акциденция	n	6	103
алады	n	0	13
алакеугім	n	0	3
алакөбе	n	0	12
алакөбең	n	0	8
алал	n	25	165
алалау	n	11	20
алалдық	n	2	4
алам	n	6	16
алама	n	4	29
аларту	n	3	20
аласалау	n	0	2
аласан	n	0	26
аласталу	n	0	24
алат	n	2	3
алатай	n	3	10
алатын	n	80	722
алатыны	n	0	32
алатынын	n	0	17
алақ	n	4	9
алақай	n	2	11
алақайлау	n	0	3
алақтау	n	0	10
алаңдары	n	0	31
алаңдарын	n	0	53
алаңдау	n	3	102
алаңы	n	0	111
алаңыт	v	2	0
алба	v	76	13
албыр	v	12	2
алд	n	424	4699
алдаберген	n	4	17
алдады	n	0	2
алдай	v	299	4
алдамыш	n	0	4
алданазар	n	0	9
алдандыру	n	0	5
алдап	v	41	0
алдарқату	n	4	24
алдастыр	v	9	0
алдасу	n	0	4
алдаусырат	v	122	0
алдаусырату	n	0	16
алдаш	n	0	16
алдым	n	151	1103
алдына	n	0	3
алдындағы	n	32	95
алдырмай	v	107	0
алдырту	n	0	11
алдыру	n	15	128
алдырыл	v	65	0
алдысы	n	0	4
алжастыру	n	0	2
алжасу	n	0	17
аллам	n	3	15
алло	v	4	0
алмады	n	0	7
алмай	v	2266	494
алмайды	n	0	3
алмайсың	n	0	199
алмайтын	n	20	559
алмаса	v	108	2
алмасуы	n	0	32
алмауы	n	0	59
алмаған	n	64	942
алп	n	5	16
алса	n	0	6
алсақ	n	0	3
алсаң	n	0	130
алтайы	n	0	32
алтау	n	10	308
алулар	n	5	92
алушылар	n	33	189
алуы	n	0	250
алуын	n	0	97
алшақтату	n	0	10
алшақтау	n	8	39
алшаңдау	n	0	2
алыбы	n	0	25
алынатын	n	0	40
алынбауы	n	0	3
алыну	n	4	341
алынуы	n	0	41
алынып	v	83	0
алынған	n	15	324
алынғандар	n	7	39
алыпты	n	0	2
алыстату	n	0	15
алыстау	n	4	38
алысып	v	30	0
алысқан	n	24	233
