# form	sources — set aside by tools/build_lexicon.py, out of scope for a
# single-word speller and kept for whatever handles phrases later
"й" әріпі	kazdict
"к" әріпі	kazdict
1-ші база ойыншысы	kazdict
1966 жылғы азаматтық және саяси құқықтар туралы халықаралық пакті	kazdict
24х7х365 мүмкіндігі	kazdict
3 жыл	kazdict
3d басып шығару	kazdict
3ат алмасу бұзылды	kazdict
3аң бұзылу	kazdict
aai application to application interface	kazdict
ac i	kazdict
ac ii	kazdict
ac iii	kazdict
active content	kazdict
adobe pagemill	kazdict
advanced search	kazdict
afaik немесе as far as i know	kazdict
alibaba group	kazdict
amazon mechanical turk	kazdict
and немесе any day now	kazdict
application error	kazdict
ay i	kazdict
ay ii	kazdict
ay iii	kazdict
ay iv	kazdict
base 64	kazdict
baud rate	kazdict
bbs немесе bulletin board system	kazdict
btw немесе by the way	kazdict
cacy i	kazdict
cacy ii	kazdict
client-side image map	kazdict
console рвх	kazdict
conversation threads	kazdict
cool servers	kazdict
cop i	kazdict
cop ii	kazdict
coreldraw 12-мен жасалатын негізгі жұмыстар	kazdict
des encryption standard)	kazdict
dft tolerance)	kazdict
dial-up user	kazdict
diik немесе damned if i know	kazdict
distinctive ring	kazdict
dns немесе domain name system	kazdict
dpmi dos protected mode interface	kazdict
dual-tone multifrequensy dialing	kazdict
f2f немесе fасе-то-fасе	kazdict
faq немесе frequently asked questions	kazdict
fast retrain	kazdict
featured resources clearinghouse	kazdict
film at 11	kazdict
firewall mashme	kazdict
follow-tip articles	kazdict
fortune cookie	kazdict
fsu немесе former soviet union	kazdict
ftp site anonymous	kazdict
ftp файлдарды жіберудің анонимдік хаттамасы	kazdict
fwiw немесе for what it`s worth	kazdict
fyi немесе for your information	kazdict
general electric company	kazdict
giwist немесе gee i wish i`d said that	kazdict
gnu немесе gnu`s not unix	kazdict
google inc	kazdict
google іздеу жүйесі	kazdict
gui немесе graphical user interface	kazdict
he i	kazdict
holy war	kazdict
home page	kazdict
hot servers	kazdict
html гипермәтіндік белгілеу тілі	kazdict
html немесе hypertext markup language	kazdict
http. hypertext transport protocol	kazdict
ic немесе i see	kazdict
imho немесе in my humble opinion	kazdict
imnsho немесе in my not so humble opinion	kazdict
in-line image	kazdict
information highway	kazdict
intelligent terminal	kazdict
interlaced images	kazdict
internet assistant for word	kazdict
internet netmeeting	kazdict
invalid request	kazdict
iow немесе in other words	kazdict
irc немесе internet reelay chat	kazdict
iron box	kazdict
isp немесе internet service provider	kazdict
java тілі	kazdict
kill file	kazdict
kip i	kazdict
kip ii	kazdict
kip iv	kazdict
linux операциялық жүйесі	kazdict
log off	kazdict
log on	kazdict
log out	kazdict
lru recently used)	kazdict
mailing list	kazdict
manufacturing messaging specification	kazdict
moderated newsgroup	kazdict
mud немесе multi-users dimension	kazdict
newsreader немесе news reader	kazdict
ni-hm nickel metal-hydride)	kazdict
nip (nonimpact printer	kazdict
nis немесе new independent states	kazdict
nist national institute of standards and technologies)	kazdict
ob немесе obligatory	kazdict
od on demand)	kazdict
odbc open database connectivity)	kazdict
oic немесе oh	kazdict
op i	kazdict
op ii	kazdict
op iii	kazdict
otoh немесе on the other hand	kazdict
pabx private automatic branch exchange	kazdict
pad packet assembly and disassembly	kazdict
pegasus mail	kazdict
personal home page	kazdict
popup window	kazdict
prebisch-singer гипотеэасы	kazdict
premises wiring	kazdict
progressive images	kazdict
public domain	kazdict
query by form	kazdict
quick search	kazdict
real soon now	kazdict
relevant feedback	kazdict
remote access server	kazdict
remote connect	kazdict
screen capture	kazdict
server-side image-map	kazdict
shoulder surfing	kazdict
sig quote	kazdict
simple search	kazdict
snail mail	kazdict
subject catalog	kazdict
system halted	kazdict
t сүшітті	kazdict
terminal emulation	kazdict
tesla motors	kazdict
thx. thanks	kazdict
top бойынша талдау	kazdict
top бойынша/топтық талдау	kazdict
tsr program	kazdict
uber technologies inc	kazdict
url. universal resource locator	kazdict
use wizards	kazdict
usenet newsgroup creation companion	kazdict
vesa association)	kazdict
vox populi	kazdict
wan wide-area network	kazdict
what`s is hot	kazdict
what`s new	kazdict
white pages	kazdict
windows ож-мен танысу	kazdict
windows файлдарымен	kazdict
wml гипермәтіндік белгілеу тілі	kazdict
word count	kazdict
www-беттердің элементтері	kazdict
wykiwyl феномені	kazdict
wев-тегі интерактивтілік	kazdict
xml гипермәтіндік белгілеу тілі	kazdict
yй бастырды	kazdict
yлгі алды	kazdict
yлкен топ	kazdict
z-авторлық қолтаңба	kazdict
¥шқыр аттай	kazdict
¨ескек етті	kazdict
«адам қатарьша қосылу» әдісі	kazdict
«азамат» серіктестігі	kazdict
«айт» десе	kazdict
«алаш» газеті	kazdict
«алаш» партиясының бағдарламасы	kazdict
«алаш» партиясының облыстық комитеттері	kazdict
«алаш» партиясының съезі	kazdict
«алаш» партиясының шарты	kazdict
«алаш» серіктестігі	kazdict
«алаш» ұғымы	kazdict
«алаштың азаматы»	kazdict
«анау бәлен	kazdict
«ақжол» газеті	kazdict
«балапан» журналы	kazdict
«барлық тәуекеллерден» сақтандыру	kazdict
«бес үйек»	kazdict
«бірлік туы» газеті	kazdict
«бірлік туы» серіктестігі	kazdict
«бірлік» ұйымы	kazdict
«біртұтас мүддені» сақтандыру	kazdict
«веритас» бюросы	kazdict
«даңқ» ордені	kazdict
«дейтұғын сөзің кайда «мағатайым?!»-	kazdict
«драйв-ин» банк	kazdict
«е» дегізді	kazdict
«е» дескендей	kazdict
«е» десті	kazdict
«е» десіп қалған кісідей	kazdict
«екі алма»	kazdict
«екі хат қатар келді көптен тосқан»-	kazdict
«ержеткен соң рахила»-	kazdict
«еркін дала»	kazdict
«есеп» партиясы	kazdict
«жалғыз міне отырмын әрнені ойлап»-	kazdict
«жалқылау әдіс»	kazdict
«жалқылаулы-жалпылау әдісі»	kazdict
«жаман адам» дегенді білдіреді. бұл термин	kazdict
«жамбас сипар»-	kazdict
«жарқ етпес қара көңілім не қылса да»-	kazdict
«жас азамат»	kazdict
«жас азамат» газеті	kazdict
«жас түркістан»	kazdict
«жас түріктер»	kazdict
«жасымда ғылым бар деп ескермедім»-	kazdict
«жаңа өріс»	kazdict
«жерлестер» ұйымы	kazdict
«жиырма бес»-	kazdict
«жиырма жеті жасында»-	kazdict
«жым-жырт» - ойнағандай	kazdict
«жұқа ара» әдісі	kazdict
«иттифак әл-муслимин»	kazdict
«каш» мәмілесі	kazdict
«күйе тас»	kazdict
«көзімнің қарасы»-	kazdict
«көзінен басқа ойы жоқ»-	kazdict
«көлеңке басын ұзартып»-	kazdict
«лоро» шоты	kazdict
«малға достың мұңы жоқ малдан басқа»-	kazdict
«мақпал қыз»-	kazdict
«медресе ғалия»	kazdict
«мекенжай тіркелімі» ақпараттық жүйесі	kazdict
«мен» тұжырымдамасы	kazdict
«мың бір түн»-	kazdict
«мұңды көңілім сырласар»-	kazdict
«мәңгілік ел» ұлттық идеясы	kazdict
«ностро» шоты	kazdict
«облыстық мәлімдеме»-	kazdict
«оффсет» мәмілесі	kazdict
«садақ» журналы	kazdict
«салями» техникасы	kazdict
«сары жұрт болды» сары жұрт қылып тастады	kazdict
«сарыарқа» газеті	kazdict
«своп» валюталық операциялары	kazdict
«серек құлақ»-	kazdict
«серке» газеті	kazdict
«сынақтан өтті» немесе «сынақтан өтпеді» деген сұлба бойынша оқуға қабылдау	kazdict
«сібірге хат»-	kazdict
«талай да талай шапшаң бар шығар-ды»-	kazdict
«талап» ұйымы	kazdict
«татьянаның қырдағы әні»-	kazdict
«теңдік» серіктестігі	kazdict
«тыныштықта беймезгіл жыр тумайды»-	kazdict
«тілдердің үштұғырлылығы» мәдени жобасы	kazdict
«тәңірі қосқан жар едің сен»-	kazdict
«уақыт» газеті	kazdict
«шағатай бәсі»	kazdict
«шура-и ислам»	kazdict
«шура-и улема»	kazdict
«шығыс кеші»	kazdict
«шығыс клубы»	kazdict
«шұғыл қажет ақша»	kazdict
«ыстық» қоғамдар	kazdict
«электронды үкімет» инфрақұрылымының жобалық интеграторы	kazdict
